time,low,high,open,close,volume
1598227200,11592.91,11823.62,11650.01,11753.85,7253.01922609
1598140800,11525.62,11715.0,11672.92,11650.01,5516.17048181
1598054400,11370.0,11693.16,11529.99,11672.93,7946.02465327
1597968000,11480.0,11884.99,11864.26,11529.22,14865.37875873
1597881600,11671.48,11892.16,11758.87,11864.26,8801.17750309
1597795200,11569.0,12024.83,11954.22,11758.87,16646.31489492
1597708800,11825.0,12400.0,12303.98,11950.0,18628.91287504
1597622400,11775.0,12486.61,11918.84,12304.26,23814.66050181
1597536000,11686.53,11940.0,11860.02,11918.84,8911.25397878
1597449600,11688.0,11989.98,11777.5,11859.24,12567.03859346
1597363200,11651.24,11865.97,11795.95,11779.0,13797.82000137
1597276800,11274.14,11802.09,11566.44,11795.95,15369.40392513
1597190400,11148.54,11625.0,11388.88,11566.45,12809.98917913
1597104000,11120.0,11943.0,11899.87,11388.53,20706.60991744
1597017600,11470.01,12086.22,11688.25,11899.73,22152.58893673
1596931200,11532.04,11810.24,11773.24,11688.48,7595.96106535
1596844800,11529.45,11818.18,11606.52,11774.98,7315.88456116
1596758400,11350.0,11920.0,11773.89,11606.52,23761.51075422
1596672000,11580.19,11916.68,11756.75,11773.89,18053.08146864
1596585600,11073.7,11798.87,11197.05,11756.75,16637.78082145
1596499200,11006.16,11417.11,11233.16,11197.04,12074.47851394
1596412800,10911.74,11486.6,11067.46,11233.13,13783.34037417
1596326400,10546.15,12134.29,11810.07,11068.54,28118.42911355
1596240000,11237.82,11888.0,11351.61,11810.07,18293.12524307
1596153600,10975.0,11460.0,11115.99,11351.62,15747.02174952
1596067200,10811.0,11188.65,11108.16,11115.95,12408.70410754
1595980800,10843.47,11350.0,10934.22,11110.12,18556.27794282
1595894400,10575.0,11259.0,11048.05,10934.23,26011.37513947
1595808000,9935.0,11420.0,9941.0,11048.91,41850.57309953
1595721600,9661.35,10150.0,9711.79,9941.0,11615.0460936
1595635200,9536.64,9747.76,9551.21,9711.33,6973.11089437
1595548800,9475.7,9645.55,9613.24,9551.21,9798.89346586
1595462400,9450.04,9686.0,9536.2,9613.24,12992.9719195
1595376000,9277.0,9567.77,9394.14,9536.18,10362.35264843
1595289600,9157.04,9438.0,9161.05,9394.14,9603.9151125
1595203200,9131.0,9223.51,9214.01,9161.05,5815.33084221
1595116800,9105.37,9245.03,9175.83,9212.87,3520.07247613
1595030400,9122.65,9210.0,9154.29,9175.85,4121.62697417
1594944000,9054.99,9182.99,9130.93,9154.29,6423.74716202
1594857600,9005.0,9216.02,9190.8,9130.11,8765.69858912
1594771200,9154.01,9273.98,9256.94,9190.16,7196.32866271
1594684800,9100.0,9280.0,9236.91,9256.94,7497.56309216
1594598400,9193.52,9339.61,9303.38,9236.92,8698.43618823
1594512000,9159.33,9347.53,9235.0,9303.37,5419.21357745
1594425600,9182.35,9303.04,9291.04,9235.0,3369.21728725
1594339200,9118.0,9322.23,9236.95,9291.05,6892.47061091
1594252800,9154.79,9446.62,9435.28,9236.95,8450.14110132
1594166400,9232.2,9475.0,9253.94,9435.28,10135.31536748
1594080000,9201.57,9379.34,9343.31,9253.94,6326.83865418
1593993600,9061.59,9375.9,9074.37,9343.31,9959.28200198
1593907200,8905.84,9145.0,9138.51,9074.39,4601.32645918
1593820800,9039.84,9195.84,9059.73,9138.51,5300.78823324
1593734400,9036.74,9126.12,9091.98,9063.87,7738.46972112
1593648000,8938.0,9265.0,9239.41,9091.53,10774.18558946
1593561600,9088.0,9297.2,9135.91,9239.97,7550.15999655
1593475200,9059.6,9201.0,9188.79,9136.2,6820.86740899
1593388800,9014.0,9236.75,9113.23,9184.45,8658.42672493
1593302400,8931.77,9189.0,9002.38,9113.24,5537.7575057
1593216000,8815.01,9188.14,9155.42,9002.46,8507.26840968
1593129600,9027.62,9291.73,9242.98,9155.42,10702.37319002
1593043200,8979.07,9335.0,9285.94,9243.51,13529.05626726
1592956800,9195.0,9663.38,9623.56,9285.91,13410.75869027
1592870400,9572.22,9724.53,9690.67,9623.56,7946.97355694
1592784000,9267.58,9792.0,9286.14,9690.74,11775.73858785
1592697600,9273.0,9419.35,9355.74,9286.14,3088.66849893
1592611200,9161.0,9391.71,9300.42,9355.74,6900.60934146
1592524800,9229.0,9430.0,9376.14,9301.91,7871.9637482
1592438400,9267.18,9482.66,9457.51,9376.14,6300.5664912
1592352000,9227.03,9558.48,9526.25,9457.51,8937.92623229
1592265600,9381.0,9592.04,9432.57,9526.25,10345.29526997
1592179200,8895.01,9499.0,9328.63,9432.53,18589.28586581
1592092800,9240.0,9481.0,9475.0,9325.0,4829.79726322
1592006400,9346.0,9494.45,9464.71,9475.0,4581.79206303
1591920000,9227.0,9552.87,9268.16,9464.17,10992.51647836
1591833600,9050.0,9973.25,9894.35,9268.16,26779.8793933
1591747200,9690.0,10018.67,9779.7,9894.04,12965.42597405
1591660800,9567.33,9886.0,9781.51,9779.41,10329.87714811
1591574400,9632.79,9815.0,9750.12,9781.51,8533.83614916
1591488000,9370.0,9822.0,9670.28,9750.12,11628.94527829
1591401600,9526.03,9735.13,9613.42,9671.7,6501.31731671
1591315200,9585.44,9855.0,9791.96,9613.21,12495.89785858
1591228800,9450.0,9888.0,9668.06,9788.03,12441.27298837
1591142400,9385.22,9695.0,9521.53,9668.07,11446.72193696
1591056000,9270.0,10237.6,10208.96,9522.46,33220.58268645
1590969600,9417.42,10428.0,9445.83,10208.96,21676.60828748
1590883200,9369.58,9705.6,9700.32,9446.57,7944.71669301
1590796800,9326.43,9764.0,9423.85,9700.33,10509.69814742
1590710400,9330.01,9609.02,9580.01,9423.84,10415.42644355
1590624000,9112.0,9625.0,9208.53,9580.19,14511.07649252
1590537600,8811.46,9230.0,8844.41,9208.53,10936.67835282
1590451200,8694.23,9016.99,8900.0,8844.42,11507.43097855
1590364800,8632.93,8977.0,8715.69,8899.31,12328.24203695
1590278400,8680.7,9306.23,9181.09,8715.73,13004.34567862
1590192000,9090.11,9313.83,9168.84,9181.76,6878.84791748
1590105600,8923.5,9267.34,9059.32,9168.84,13731.91887098
1590019200,8800.0,9568.0,9509.4,9061.96,28081.22890941
1589932800,9294.54,9836.99,9783.57,9509.41,16895.54925055
1589846400,9463.22,9898.0,9728.52,9783.76,15229.62610784
1589760000,9436.97,9957.25,9677.45,9728.52,17710.29958398
1589673600,9325.81,9896.0,9380.01,9676.63,13540.66294076
1589587200,9215.01,9594.99,9312.1,9383.16,10782.32773503
